date,coordinates
20220717,"-121.019467, 52.623"
20220824,"-122.375417, 51.0147"
20220823,"-118.872217, 49.543983"
20220812,"-120.567867, 50.472167"
20220823,"-121.4897, 49.221417"
20220717,"-120.169283, 50.940417"
20220902,"-120.596033, 49.543033"
20220410,"-123.443117, 52.112967"
20220809,"-119.812033, 50.763083"
20220819,"-117.4555, 50.6529"
20220818,"-121.783333, 51.8958"
20220905,"-123.923083, 50.703717"
20220811,"-126.233317, 49.9819"
20220424,"-122.615883, 51.98155"
20220912,"-118.010583, 51.951717"
20221009,"-126.6623, 54.424533"
20220902,"-120.4756, 55.7061"
20220722,"-118.785333, 49.72495"
20220823,"-115.5201, 49.613567"
20220429,"-120.888333, 50.789333"
20220927,"-125.289883, 49.727917"
20220812,"-119.753833, 50.50715"
20220826,"-115.788317, 49.856333"
20220704,"-122.556251, 58.707878"
20220914,"-121.374667, 50.782883"
20220821,"-120.444667, 49.489383"
20220720,"-116.369867, 49.657383"
20220902,"-122.175133, 51.745417"
20221014,"-124.915167, 49.273583"
20220812,"-122.178617, 50.8322"
20220809,"-126.367133, 49.9097"
20220819,"-122.041, 50.059417"
20220823,"-121.590733, 52.609567"
20220801,"-120.068433, 52.397217"
20220815,"-117.684917, 50.034317"
20220924,"-120.2774, 55.787017"
20220812,"-117.738083, 50.736383"
20220827,"-121.237917, 49.063217"
20220826,"-124.800333, 52.585667"
20220627,"-125.050017, 53.535417"
20220810,"-124.724733, 48.793183"
20220829,"-122.779333, 56.389167"
20221017,"-126.37005, 54.44735"
20220412,"-122.626283, 51.98355"
20220729,"-119.417, 50.938967"
20220823,"-118.869617, 49.529"
20220622,"-122.940667, 56.137333"
20220815,"-120.9067, 49.8505"
20220802,"-116.359867, 49.179833"
20220513,"-121.227017, 56.285033"
20220811,"-123.671, 51.961833"
20220811,"-119.96025, 52.485533"
20220703,"-128.92605, 54.849633"
20220811,"-116.738883, 49.107767"
20220812,"-118.026217, 50.0625"
20220623,"-120.75325, 50.1068"
20220824,"-117.028133, 49.568617"
20220818,"-121.9279, 51.5059"
20220808,"-116.323717, 49.557533"
20220823,"-116.26625, 49.030417"
20221003,"-117.427783, 49.26895"
20220717,"-117.39855, 52.027717"
20221014,"-119.070583, 49.659433"
20220825,"-116.92965, 49.041167"
20220823,"-117.762333, 49.566"
20220819,"-117.98085, 50.842383"
20220820,"-122.173017, 55.184567"
20220824,"-121.817033, 50.531833"
20220819,"-118.213633, 50.908417"
20220808,"-128.771433, 54.818217"
20221002,"-123.498217, 49.438"
20220422,"-120.503017, 50.586433"
20220812,"-122.395783, 50.77675"
20221021,"-122.1332, 56.737383"
20220822,"-124.2788, 52.65745"
20220824,"-120.7521, 55.031517"
20221003,"-115.939283, 49.7972"
20230312,"-121.609667, 50.2812"
20220827,"-120.057667, 49.56945"
20220819,"-121.5488, 50.809133"
20220429,"-115.4234, 49.446333"
20220731,"-119.374533, 52.77145"
20220422,"-120.707817, 53.543367"
20220822,"-122.287583, 55.665917"
20220825,"-121.915917, 50.61585"
20220811,"-123.604, 52.96825"
20220813,"-120.829783, 50.47055"
20220905,"-119.57575, 49.5741"
20220812,"-125.484667, 49.452"
20220801,"-121.7094, 51.8131"
20220811,"-117.770867, 50.52125"
20220917,"-124.761416, 49.2418"
20220822,"-121.3835, 49.18055"
20221014,"-124.853117, 49.250533"
20220918,"-125.5881, 52.623708"
20220724,"-117.493767, 51.456467"
20220819,"-120.37595, 53.674617"
20220508,"-120.4196, 50.553533"
20220615,"-123.7173, 55.879417"
20220824,"-116.7595, 50.562917"
20220717,"-121.0622, 52.620533"
20220819,"-120.8577, 52.861333"
20220830,"-121.869983, 49.98665"
20220819,"-121.738633, 51.666083"
20220913,"-122.722617, 50.404783"
20220729,"-118.369333, 50.690667"
20230319,"-120.291966, 49.4397"
20220811,"-117.977383, 49.4553"
20221003,"-122.01705, 52.037333"
20220804,"-119.162383, 50.733917"
20220731,"-119.8356, 50.988533"
20220728,"-119.073717, 52.003967"
20221003,"-124.09275, 48.505367"
20221119,"-123.9036, 49.529167"
20220811,"-120.901733, 52.883933"
20220728,"-120.499667, 49.864133"
20220505,"-123.13905, 52.003217"
20220815,"-120.5607, 49.417633"
20220813,"-128.60095, 55.624016"
20220726,"-119.604867, 49.341883"
20220909,"-122.287167, 53.859"
20220819,"-125.81195, 49.902583"
20220804,"-115.67805, 49.096217"
20220702,"-130.385434, 58.996263"
20220829,"-126.451917, 50.035033"
20220611,"-120.471817, 55.418733"
20220824,"-118.719967, 49.65455"
20220801,"-119.2131, 51.592317"
20220418,"-115.286833, 49.31005"
20220926,"-122.6258, 51.789333"
20220620,"-120.898033, 59.291417"
20220730,"-119.801283, 51.774617"
20220417,"-121.104933, 51.875483"
20220823,"-120.604117, 49.865167"
20220821,"-121.600667, 52.013533"
20220824,"-121.159417, 49.040583"
20220830,"-125.198333, 52.016833"
20220811,"-119.4657, 50.493967"
20230330,"-119.94185, 51.6232"
20220817,"-121.479533, 49.995617"
20220908,"-121.509967, 49.357217"
20220701,"-117.9935, 49.090867"
20220811,"-116.4492, 49.254717"
20220704,"-122.450487, 58.8004"
20220704,"-129.342583, 56.262317"
20220905,"-115.463283, 49.551933"
20220829,"-114.442867, 49.024683"
20220629,"-128.918933, 59.966917"
20220825,"-122.997133, 55.0142"
20220418,"-123.23345, 52.111433"
20220725,"-121.689383, 50.919833"
20220801,"-121.2288, 56.23955"
20220822,"-117.979733, 50.6032"
20220705,"-130.29255, 57.47625"
20220819,"-118.095033, 51.2252"
20220830,"-120.8047, 49.1172"
20220821,"-115.286, 49.7783"
20220729,"-119.464233, 51.2088"
20220415,"-123.156583, 52.007833"
20220823,"-121.963867, 53.136367"
20220824,"-120.896117, 52.666917"
20220610,"-118.6042, 52.852017"
20220729,"-117.45275, 49.168717"
20220821,"-116.807583, 49.764417"
20220702,"-121.4726, 56.203183"
20220811,"-126.232133, 49.9818"
20220824,"-118.9632, 49.0807"
20220620,"-121.138667, 59.109833"
20220828,"-125.0156, 49.34975"
20220902,"-123.0457, 52.646867"
20220717,"-122.221333, 56.647667"
20220823,"-117.0859, 49.3864"
20220826,"-117.875, 49.098633"
20220820,"-120.70405, 49.53855"
20220819,"-118.27005, 50.871617"
20220823,"-119.28675, 49.74075"
20220725,"-122.261867, 49.200167"
20220420,"-123.182883, 52.031417"
20221017,"-121.622467, 52.093617"
20220804,"-119.502517, 49.750367"
20220817,"-127.3485, 54.3401"
20220929,"-124.971083, 49.248283"
20220903,"-122.771483, 49.010467"
20220812,"-119.258517, 52.226283"
20220812,"-121.546417, 50.635617"
20220413,"-123.604283, 52.0967"
20220716,"-120.6877, 59.023017"
20220812,"-119.76585, 50.559917"
20220812,"-118.127583, 49.80995"
20220706,"-131.590617, 57.6862"
20220812,"-118.2873, 50.647083"
20220729,"-117.482683, 51.519383"
20221118,"-122.02195, 49.353017"
20220729,"-119.656833, 51.469333"
20220910,"-124.754217, 49.43705"
20221007,"-121.482533, 50.0032"
20220811,"-122.175317, 53.692717"
20220818,"-121.502933, 52.045567"
20220825,"-118.7183, 49.120967"
20220823,"-118.518733, 49.207683"
20220814,"-119.825666, 49.868766"
20220708,"-129.342117, 56.274667"
20220825,"-120.67095, 49.342017"
20220929,"-115.635783, 49.186367"
20220811,"-118.552483, 51.995767"
20220809,"-125.499917, 49.3874"
20220902,"-114.99525, 49.503583"
20220913,"-121.587367, 51.3386"
20220821,"-126.205, 53.497833"
20220825,"-121.9997, 50.66145"
20220819,"-118.158367, 51.203533"
20220911,"-122.468033, 50.194033"
20220902,"-120.604967, 49.448883"
20220910,"-121.395083, 51.654867"
20220829,"-115.367783, 49.7617"
20220929,"-125.101867, 54.175383"
20221012,"-123.0743, 49.7429"
20220812,"-117.8092, 50.5698"
20220825,"-120.5074, 49.221367"
20220812,"-115.58805, 49.596483"
20220814,"-117.7797, 50.519583"
20220819,"-125.698033, 49.701117"
20220824,"-118.406867, 49.045767"
20220503,"-120.865083, 50.176217"
20220705,"-129.379767, 56.2277"
20220812,"-121.561917, 50.61855"
20220726,"-121.948883, 49.09145"
20221004,"-126.9418, 50.390983"
20220814,"-118.693267, 51.276533"
20220706,"-131.3518, 59.33475"
20220802,"-119.224683, 51.111933"
20220822,"-122.711633, 52.280867"
20220814,"-116.66955, 49.446917"
20220822,"-122.474, 52.2085"
20220406,"-122.440704, 52.936512"
20220914,"-118.46025, 49.05275"
20220904,"-117.054283, 50.575783"
20220822,"-125.344383, 49.605383"
20220717,"-121.049317, 50.14445"
20220819,"-127.363167, 54.20055"
